newProc,STAR_procName,navaid_name,lat,long,GPSVis_NODE,GPSVis_TRACK,Xcoord_meters,Ycoord_meters
0,WYNDE_SEVEN.WYNDE.POSSM,ERNNY,42.33866667,-87.53416667,"W, ,ERNNY,nav,42.3386666666667,-87.5341666666667, ,lime","T,0, , ,42.3386666666667,-87.5341666666667, , ",30721.83987,39992.77458
0,WYNDE_SEVEN.WYNDE.POSSM,PAPPI,42.27,-87.60716667,"W, ,PAPPI,nav,42.27,-87.6071666666667, ,lime","T,0, , ,42.27,-87.6071666666667, , ",24671.5416,32365.87633
0,WYNDE_SEVEN.WYNDE.POSSM,TUBEZ,42.181,-87.70083333,"W, ,TUBEZ,nav,42.181,-87.7008333333333, ,lime","T,0, , ,42.181,-87.7008333333333, , ",16908.37406,22480.5281
0,WYNDE_SEVEN.WYNDE.POSSM,MONKZ,41.88433333,-87.80183333,"W, ,MONKZ,nav,41.8843333333333,-87.8018333333333, ,lime","T,0, , ,41.8843333333333,-87.8018333333333, , ",8537.41344,-10470.63304
0,WYNDE_SEVEN.WYNDE.POSSM,JORJO,41.8845,-87.9885,"W, ,JORJO,nav,41.8845,-87.9885, ,lime","T,0, , ,41.8845,-87.9885, , ",-6933.669166,-10452.12078
0,WYNDE_SEVEN.WYNDE.POSSM,POSSM,41.87466667,-88.27516667,"W, ,POSSM,nav,41.8746666666667,-88.2751666666667, ,lime","T,0, , ,41.8746666666667,-88.2751666666667, , ",-30692.83159,-11544.32181
1,MADII_TWO.MADII.HIMGO,MADII,42.301,-88.31383333,"W, ,MADII,nav,42.301,-88.3138333333333, ,lime","T,1, , ,42.301,-88.3138333333333,MADII_TWO.MADII.HIMGO,blue",-33897.55524,35809.08751
0,MADII_TWO.MADII.HIMGO,SOOLU,42.19633333,-88.14766667,"W, ,SOOLU,nav,42.1963333333333,-88.1476666666667, ,lime","T,0, , ,42.1963333333333,-88.1476666666667, , ",-20125.52982,24183.62143
0,MADII_TWO.MADII.HIMGO,KURKK,42.09183333,-88.02716667,"W, ,KURKK,nav,42.0918333333333,-88.0271666666667, ,lime","T,0, , ,42.0918333333333,-88.0271666666667, , ",-10138.39364,12576.66761
0,MADII_TWO.MADII.HIMGO,VULCN,42.09183333,-87.79416667,"W, ,VULCN,nav,42.0918333333333,-87.7941666666667, ,lime","T,0, , ,42.0918333333333,-87.7941666666667, , ",9172.83234,12576.66761
0,MADII_TWO.MADII.HIMGO,HIMGO,42.091,-87.50883333,"W, ,HIMGO,nav,42.091,-87.5088333333333, ,lime","T,0, , ,42.091,-87.5088333333333, , ",32821.48731,12484.10854
1,MADII_TWO.MADII.TONIE,MADII,42.301,-88.31383333,"W, ,MADII,nav,42.301,-88.3138333333333, ,lime","T,1, , ,42.301,-88.3138333333333,MADII_TWO.MADII.TONIE,blue",-33897.55524,35809.08751
0,MADII_TWO.MADII.TONIE,SOOLU,42.19633333,-88.14766667,"W, ,SOOLU,nav,42.1963333333333,-88.1476666666667, ,lime","T,0, , ,42.1963333333333,-88.1476666666667, , ",-20125.52982,24183.62143
0,MADII_TWO.MADII.TONIE,JORJO,41.8845,-87.9885,"W, ,JORJO,nav,41.8845,-87.9885, ,lime","T,0, , ,41.8845,-87.9885, , ",-6933.669166,-10452.12078
0,MADII_TWO.MADII.TONIE,MONKZ,41.88433333,-87.80183333,"W, ,MONKZ,nav,41.8843333333333,-87.8018333333333, ,lime","T,0, , ,41.8843333333333,-87.8018333333333, , ",8537.41344,-10470.63304
0,MADII_TWO.MADII.TONIE,TONIE,41.88366667,-87.49083333,"W, ,TONIE,nav,41.8836666666667,-87.4908333333333, ,lime","T,0, , ,41.8836666666667,-87.4908333333333, , ",34313.34168,-10544.67985
1,FYTTE_THREE.FYTTE.HIMGO,FYTTE,42.38,-88.66783333,"W, ,FYTTE,nav,42.38,-88.6678333333333, ,lime","T,1, , ,42.38,-88.6678333333333,FYTTE_THREE.FYTTE.HIMGO,blue",-63237.3578,44583.72245
0,FYTTE_THREE.FYTTE.HIMGO,MOTRR,42.3585,-88.50283333,"W, ,MOTRR,nav,42.3585,-88.5028333333333, ,lime","T,0, , ,42.3585,-88.5028333333333, , ",-49562.0261,42195.68889
0,FYTTE_THREE.FYTTE.HIMGO,COGSS,42.34433333,-88.39483333,"W, ,COGSS,nav,42.3443333333333,-88.3948333333333, ,lime","T,0, , ,42.3443333333333,-88.3948333333333, , ",-40610.89989,40622.17804
0,FYTTE_THREE.FYTTE.HIMGO,MADII,42.301,-88.31383333,"W, ,MADII,nav,42.301,-88.3138333333333, ,lime","T,0, , ,42.301,-88.3138333333333, , ",-33897.55524,35809.08751
0,FYTTE_THREE.FYTTE.HIMGO,SOOLU,42.19633333,-88.14766667,"W, ,SOOLU,nav,42.1963333333333,-88.1476666666667, ,lime","T,0, , ,42.1963333333333,-88.1476666666667, , ",-20125.52982,24183.62143
0,FYTTE_THREE.FYTTE.HIMGO,KURKK,42.09183333,-88.02716667,"W, ,KURKK,nav,42.0918333333333,-88.0271666666667, ,lime","T,0, , ,42.0918333333333,-88.0271666666667, , ",-10138.39364,12576.66761
0,FYTTE_THREE.FYTTE.HIMGO,VULCN,42.09183333,-87.79416667,"W, ,VULCN,nav,42.0918333333333,-87.7941666666667, ,lime","T,0, , ,42.0918333333333,-87.7941666666667, , ",9172.83234,12576.66761
0,FYTTE_THREE.FYTTE.HIMGO,HIMGO,42.091,-87.50883333,"W, ,HIMGO,nav,42.091,-87.5088333333333, ,lime","T,0, , ,42.091,-87.5088333333333, , ",32821.48731,12484.10854
1,FYTTE_THREE.FYTTE.TONIE,FYTTE,42.38,-88.66783333,"W, ,FYTTE,nav,42.38,-88.6678333333333, ,lime","T,1, , ,42.38,-88.6678333333333,FYTTE_THREE.FYTTE.TONIE,blue",-63237.3578,44583.72245
0,FYTTE_THREE.FYTTE.TONIE,MOTRR,42.3585,-88.50283333,"W, ,MOTRR,nav,42.3585,-88.5028333333333, ,lime","T,0, , ,42.3585,-88.5028333333333, , ",-49562.0261,42195.68889
0,FYTTE_THREE.FYTTE.TONIE,COGSS,42.34433333,-88.39483333,"W, ,COGSS,nav,42.3443333333333,-88.3948333333333, ,lime","T,0, , ,42.3443333333333,-88.3948333333333, , ",-40610.89989,40622.17804
0,FYTTE_THREE.FYTTE.TONIE,MADII,42.301,-88.31383333,"W, ,MADII,nav,42.301,-88.3138333333333, ,lime","T,0, , ,42.301,-88.3138333333333, , ",-33897.55524,35809.08751
0,FYTTE_THREE.FYTTE.TONIE,SOOLU,42.19633333,-88.14766667,"W, ,SOOLU,nav,42.1963333333333,-88.1476666666667, ,lime","T,0, , ,42.1963333333333,-88.1476666666667, , ",-20125.52982,24183.62143
0,FYTTE_THREE.FYTTE.TONIE,JORJO,41.8845,-87.9885,"W, ,JORJO,nav,41.8845,-87.9885, ,lime","T,0, , ,41.8845,-87.9885, , ",-6933.669166,-10452.12078
0,FYTTE_THREE.FYTTE.TONIE,MONKZ,41.88433333,-87.80183333,"W, ,MONKZ,nav,41.8843333333333,-87.8018333333333, ,lime","T,0, , ,41.8843333333333,-87.8018333333333, , ",8537.41344,-10470.63304
0,FYTTE_THREE.FYTTE.TONIE,TONIE,41.88366667,-87.49083333,"W, ,TONIE,nav,41.8836666666667,-87.4908333333333, ,lime","T,0, , ,41.8836666666667,-87.4908333333333, , ",34313.34168,-10544.67985
1,BENKY_THREE.BENKY.HIMGO,BENKY,41.51183333,-88.709,"W, ,BENKY,nav,41.5118333333333,-88.709, ,lime","T,1, , ,41.5118333333333,-88.709,BENKY_THREE.BENKY.HIMGO,blue",-66649.28427,-51844.70288
0,BENKY_THREE.BENKY.HIMGO,NEWRK,41.56616667,-88.57116667,"W, ,NEWRK,nav,41.5661666666667,-88.5711666666667, ,lime","T,0, , ,41.5661666666667,-88.5711666666667, , ",-55225.54786,-45809.82663
0,BENKY_THREE.BENKY.HIMGO,AHSTN,41.71266667,-88.35733333,"W, ,AHSTN,nav,41.7126666666667,-88.3573333333333, ,lime","T,0, , ,41.7126666666667,-88.3573333333333, , ",-37502.86996,-29537.87702
0,BENKY_THREE.BENKY.HIMGO,PETAH,41.8855,-88.15,"W, ,PETAH,nav,41.8855,-88.15, ,lime","T,0, , ,41.8855,-88.15, , ",-20318.91808,-10341.04946
0,BENKY_THREE.BENKY.HIMGO,KURKK,42.09183333,-88.02716667,"W, ,KURKK,nav,42.0918333333333,-88.0271666666667, ,lime","T,0, , ,42.0918333333333,-88.0271666666667, , ",-10138.39364,12576.66761
0,BENKY_THREE.BENKY.HIMGO,VULCN,42.09183333,-87.79416667,"W, ,VULCN,nav,42.0918333333333,-87.7941666666667, ,lime","T,0, , ,42.0918333333333,-87.7941666666667, , ",9172.83234,12576.66761
0,BENKY_THREE.BENKY.HIMGO,HIMGO,42.091,-87.50883333,"W, ,HIMGO,nav,42.091,-87.5088333333333, ,lime","T,0, , ,42.091,-87.5088333333333, , ",32821.48731,12484.10854
1,BENKY_THREE.BENKY.TONIE,BENKY,41.51183333,-88.709,"W, ,BENKY,nav,41.5118333333333,-88.709, ,lime","T,1, , ,41.5118333333333,-88.709,BENKY_THREE.BENKY.TONIE,blue",-66649.28427,-51844.70288
0,BENKY_THREE.BENKY.TONIE,NEWRK,41.56616667,-88.57116667,"W, ,NEWRK,nav,41.5661666666667,-88.5711666666667, ,lime","T,0, , ,41.5661666666667,-88.5711666666667, , ",-55225.54786,-45809.82663
0,BENKY_THREE.BENKY.TONIE,AHSTN,41.71266667,-88.35733333,"W, ,AHSTN,nav,41.7126666666667,-88.3573333333333, ,lime","T,0, , ,41.7126666666667,-88.3573333333333, , ",-37502.86996,-29537.87702
0,BENKY_THREE.BENKY.TONIE,PETAH,41.8855,-88.15,"W, ,PETAH,nav,41.8855,-88.15, ,lime","T,0, , ,41.8855,-88.15, , ",-20318.91808,-10341.04946
0,BENKY_THREE.BENKY.TONIE,JORJO,41.8845,-87.9885,"W, ,JORJO,nav,41.8845,-87.9885, ,lime","T,0, , ,41.8845,-87.9885, , ",-6933.669166,-10452.12078
0,BENKY_THREE.BENKY.TONIE,MONKZ,41.88433333,-87.80183333,"W, ,MONKZ,nav,41.8843333333333,-87.8018333333333, ,lime","T,0, , ,41.8843333333333,-87.8018333333333, , ",8537.41344,-10470.63304
0,BENKY_THREE.BENKY.TONIE,TONIE,41.88366667,-87.49083333,"W, ,TONIE,nav,41.8836666666667,-87.4908333333333, ,lime","T,0, , ,41.8836666666667,-87.4908333333333, , ",34313.34168,-10544.67985
1,TRTLL_THREE.TRTLL.HIMGO,TRTLL,41.3705,-88.61166667,"W, ,TRTLL,nav,41.3705,-88.6116666666667, ,lime","T,1, , ,41.3705,-88.6116666666667,TRTLL_THREE.TRTLL.HIMGO,blue",-58582.22019,-67542.7836
0,TRTLL_THREE.TRTLL.HIMGO,HIHRY,41.61516667,-88.32033333,"W, ,HIHRY,nav,41.6151666666667,-88.3203333333333, ,lime","T,0, , ,41.6151666666667,-88.3203333333333, , ",-34436.28043,-40367.33154
0,TRTLL_THREE.TRTLL.HIMGO,RINNO,41.8055,-88.09333333,"W, ,RINNO,nav,41.8055,-88.0933333333333, ,lime","T,0, , ,41.8055,-88.0933333333333, , ",-15622.33923,-19226.75573
0,TRTLL_THREE.TRTLL.HIMGO,KURKK,42.09183333,-88.02716667,"W, ,KURKK,nav,42.0918333333333,-88.0271666666667, ,lime","T,0, , ,42.0918333333333,-88.0271666666667, , ",-10138.39364,12576.66761
0,TRTLL_THREE.TRTLL.HIMGO,VULCN,42.09183333,-87.79416667,"W, ,VULCN,nav,42.0918333333333,-87.7941666666667, ,lime","T,0, , ,42.0918333333333,-87.7941666666667, , ",9172.83234,12576.66761
0,TRTLL_THREE.TRTLL.HIMGO,HIMGO,42.091,-87.50883333,"W, ,HIMGO,nav,42.091,-87.5088333333333, ,lime","T,0, , ,42.091,-87.5088333333333, , ",32821.48731,12484.10854
